pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
0.125021,0.047957,0.003891,0.129823,0.045201,-0.000475,0.085157,0.10407,0.029595,0.088997,0.108787,0.028494
0.124962,0.048177,0.004296,0.129835,0.04549,-0.000069,0.085212,0.104091,0.029531,0.088933,0.1088,0.028498
0.124865,0.048505,0.004759,0.129723,0.046105,0.000474,0.085244,0.104045,0.029526,0.088932,0.1088,0.028498
0.124723,0.048833,0.005214,0.129628,0.046397,0.000965,0.085247,0.104046,0.029526,0.088935,0.108801,0.028499
0.124646,0.049207,0.005636,0.129501,0.046823,0.001473,0.085246,0.104046,0.029527,0.088936,0.108801,0.0285
0.124487,0.049579,0.006125,0.129448,0.047123,0.001945,0.085244,0.104045,0.029523,0.088934,0.1088,0.028498
0.124383,0.049937,0.006593,0.129342,0.047473,0.002425,0.085241,0.104046,0.029525,0.088931,0.1088,0.028498
0.124175,0.050259,0.007064,0.129201,0.047856,0.002928,0.085247,0.104046,0.029526,0.088933,0.108799,0.028499
0.124086,0.05056,0.007505,0.129068,0.0482,0.003404,0.085244,0.104049,0.029525,0.088933,0.108803,0.028498
0.123917,0.050931,0.008003,0.128927,0.048519,0.003893,0.085245,0.10405,0.029522,0.088933,0.108801,0.028499
0.123822,0.051296,0.00843,0.128793,0.048872,0.004377,0.085241,0.104053,0.029518,0.088933,0.108802,0.028496
0.123656,0.051653,0.008887,0.128638,0.049227,0.004887,0.085247,0.104052,0.029521,0.088933,0.108802,0.028498
0.123465,0.05213,0.009399,0.128454,0.049588,0.005386,0.085244,0.104056,0.029515,0.08893,0.108805,0.028498
0.123275,0.052389,0.009863,0.12827,0.049918,0.005842,0.085245,0.104059,0.029517,0.088936,0.108876,0.028464
0.123057,0.052741,0.010366,0.128122,0.050209,0.006328,0.085238,0.104037,0.029574,0.08894,0.108869,0.028414
0.1229,0.053028,0.010848,0.127927,0.05056,0.006822,0.085241,0.104037,0.02957,0.088941,0.108808,0.028401
0.122716,0.053306,0.011319,0.127759,0.050888,0.007303,0.085243,0.104037,0.029573,0.088945,0.108807,0.02841
0.122511,0.053629,0.011804,0.127617,0.051255,0.007819,0.085243,0.104039,0.029573,0.088944,0.108806,0.028408
0.122341,0.053992,0.01228,0.127508,0.051589,0.00827,0.085239,0.104036,0.02957,0.088943,0.108804,0.028406
0.122238,0.054359,0.012739,0.127369,0.051908,0.008787,0.085242,0.104036,0.029576,0.088945,0.108806,0.028407
0.122109,0.054644,0.013155,0.127215,0.05223,0.009222,0.085243,0.104016,0.029562,0.088942,0.108809,0.028409
0.121901,0.054933,0.013589,0.127008,0.052571,0.009768,0.085243,0.104014,0.029563,0.088942,0.108805,0.028409
0.121656,0.055256,0.014067,0.126766,0.052926,0.010211,0.085242,0.104017,0.02956,0.088939,0.108806,0.028407
0.121434,0.055637,0.01455,0.126456,0.053288,0.010747,0.08524,0.104015,0.02956,0.088942,0.108807,0.028409
0.12117,0.056023,0.015102,0.126145,0.053609,0.011164,0.085242,0.104039,0.029547,0.088941,0.108806,0.028407
0.120988,0.056237,0.015564,0.125915,0.053931,0.011614,0.085244,0.104048,0.029523,0.088941,0.108805,0.028406
0.120782,0.056613,0.016056,0.125727,0.05421,0.0121,0.085243,0.104051,0.029524,0.088943,0.108806,0.028408
0.120596,0.056972,0.016528,0.125503,0.054533,0.012587,0.085243,0.104052,0.029521,0.088941,0.108806,0.028408
0.120361,0.057308,0.017014,0.12532,0.054818,0.013056,0.085245,0.104054,0.029518,0.088942,0.10881,0.028403
0.12013,0.057572,0.01748,0.125092,0.055136,0.013598,0.085243,0.104053,0.029519,0.088941,0.108807,0.028408
0.119873,0.057865,0.017945,0.124878,0.055429,0.0141,0.085243,0.104052,0.029521,0.088941,0.108807,0.028405
0.119585,0.058181,0.018504,0.124577,0.055779,0.014565,0.085246,0.104051,0.029518,0.088942,0.108806,0.028407
0.119286,0.058566,0.018987,0.124286,0.056166,0.015054,0.085243,0.104052,0.029515,0.088939,0.108807,0.028408
0.119016,0.058908,0.019456,0.123972,0.05653,0.015571,0.085246,0.104054,0.029517,0.088941,0.108805,0.028406
0.118813,0.059179,0.019935,0.123655,0.05683,0.016094,0.085243,0.104053,0.029516,0.08894,0.108805,0.028407
0.11858,0.059536,0.020391,0.123418,0.057108,0.016556,0.085245,0.104055,0.029516,0.08894,0.108806,0.028406
0.11829,0.059809,0.020964,0.123191,0.057411,0.017038,0.085244,0.104056,0.029512,0.088942,0.108804,0.028409
0.11796,0.060218,0.021488,0.122894,0.057728,0.017538,0.085247,0.104057,0.029513,0.08894,0.108808,0.028406
0.117575,0.060455,0.022085,0.12259,0.057965,0.018066,0.085245,0.104056,0.029511,0.08894,0.108805,0.028408
0.117239,0.060647,0.022553,0.122316,0.058246,0.018543,0.085245,0.104056,0.029512,0.088939,0.108806,0.028407
0.116925,0.060924,0.02301,0.121995,0.058603,0.019021,0.085242,0.104059,0.029513,0.08894,0.108806,0.028408
0.116624,0.061369,0.023507,0.121626,0.058957,0.019513,0.085248,0.104057,0.029513,0.088941,0.108806,0.028408
0.116317,0.061751,0.02399,0.12122,0.059269,0.020029,0.085247,0.104055,0.029513,0.088938,0.108806,0.028407
0.116024,0.062023,0.024437,0.120934,0.059547,0.02053,0.085245,0.104055,0.029511,0.088939,0.108804,0.028407
0.115631,0.062447,0.024939,0.120609,0.059901,0.021019,0.085246,0.104054,0.029512,0.08894,0.108801,0.028406
0.115243,0.062752,0.025456,0.12024,0.060226,0.021521,0.085246,0.104053,0.029516,0.088941,0.108804,0.028407
0.114835,0.062972,0.025982,0.119818,0.060586,0.022059,0.085243,0.104054,0.029512,0.088941,0.108804,0.028407
0.114456,0.063128,0.026532,0.119478,0.060864,0.022557,0.085246,0.104054,0.029517,0.088938,0.108805,0.028406
0.114089,0.063431,0.027012,0.119128,0.061139,0.023051,0.085246,0.104055,0.029513,0.088938,0.108806,0.028406
0.113727,0.06376,0.027514,0.118741,0.06147,0.023539,0.085245,0.104057,0.029517,0.088941,0.108805,0.028407
0.113372,0.064072,0.028003,0.118317,0.061835,0.024029,0.085247,0.104056,0.029517,0.088938,0.108804,0.028406
0.113042,0.064398,0.028469,0.117955,0.062162,0.024544,0.085246,0.104059,0.029514,0.088943,0.108805,0.028408
0.11275,0.064783,0.028943,0.117602,0.062464,0.025133,0.085246,0.104061,0.029512,0.088937,0.108805,0.028406
0.11243,0.065085,0.029376,0.117198,0.062794,0.025678,0.085247,0.104059,0.029516,0.088938,0.108806,0.028406
0.112003,0.065318,0.029908,0.116786,0.063165,0.026246,0.085245,0.104059,0.029517,0.088938,0.108805,0.028406
0.111571,0.065618,0.030424,0.11637,0.063536,0.026805,0.085245,0.104062,0.029513,0.088936,0.108806,0.028408
0.111119,0.065878,0.030965,0.116069,0.063826,0.027352,0.085244,0.104061,0.029514,0.08894,0.108806,0.028408
0.110596,0.06618,0.031516,0.115643,0.064025,0.027756,0.085247,0.104061,0.029513,0.088939,0.108804,0.028409
0.11011,0.066492,0.032063,0.115307,0.064274,0.028215,0.085248,0.10406,0.029513,0.088943,0.108805,0.028406
0.109677,0.066721,0.032646,0.114892,0.064612,0.028692,0.085248,0.104062,0.029513,0.088939,0.108803,0.028409
0.10928,0.066929,0.033114,0.114479,0.064875,0.029182,0.085198,0.104053,0.029577,0.088939,0.108805,0.028407
0.108867,0.067166,0.033566,0.114089,0.06512,0.029666,0.085163,0.104055,0.029555,0.088939,0.108806,0.028408
0.108446,0.067462,0.034001,0.113713,0.065408,0.030144,0.08516,0.104061,0.029531,0.088942,0.108806,0.028408
0.108051,0.067695,0.034404,0.113352,0.065713,0.030624,0.085168,0.104061,0.02953,0.08894,0.108802,0.028409
0.107665,0.067777,0.034871,0.112965,0.066052,0.031123,0.085166,0.104061,0.029531,0.08894,0.108804,0.028409
0.107224,0.067988,0.035342,0.112505,0.066301,0.031632,0.085167,0.104058,0.029531,0.08894,0.108805,0.028408
0.106766,0.068271,0.035781,0.112045,0.06666,0.032121,0.085171,0.10406,0.02953,0.08894,0.108804,0.028409
0.106359,0.068303,0.036214,0.111542,0.066899,0.032618,0.085184,0.104056,0.029533,0.088942,0.108802,0.028409
0.105958,0.068358,0.036639,0.11108,0.067309,0.033154,0.085245,0.10406,0.029525,0.08894,0.108803,0.028408
0.105512,0.068456,0.037028,0.110645,0.067851,0.033713,0.08525,0.10406,0.029524,0.088942,0.108802,0.028408
0.105055,0.06865,0.037357,0.110171,0.068235,0.034259,0.085252,0.104058,0.029525,0.08894,0.108803,0.028408
0.104542,0.068434,0.037711,0.10963,0.068813,0.034767,0.085252,0.104056,0.029526,0.088944,0.108802,0.028408
0.104117,0.068348,0.037933,0.109748,0.069258,0.035161,0.085251,0.104056,0.029526,0.088944,0.108803,0.028408
0.103633,0.068289,0.038181,0.109419,0.069617,0.035632,0.085251,0.104055,0.029525,0.088942,0.108802,0.028409
