pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
0.081236,0.079588,0.023076,0.084517,0.084879,0.020467,0.031201,0.118833,-0.030359,0.026652,0.123143,-0.032796
0.081173,0.079577,0.023103,0.084505,0.084786,0.020376,0.031282,0.118814,-0.030309,0.026764,0.123092,-0.032727
0.081218,0.079533,0.02313,0.084594,0.084657,0.020339,0.031297,0.118725,-0.030329,0.026806,0.123056,-0.032687
0.081209,0.079379,0.023147,0.084629,0.084453,0.020325,0.031345,0.118683,-0.030298,0.02691,0.123011,-0.032575
0.081232,0.0792,0.023103,0.084664,0.084277,0.020305,0.031484,0.118586,-0.030268,0.027062,0.122934,-0.032534
0.081268,0.079022,0.023086,0.084718,0.084106,0.020299,0.031572,0.118513,-0.030185,0.027235,0.122795,-0.032366
0.081278,0.078804,0.023079,0.084816,0.083983,0.020265,0.031789,0.118364,-0.030102,0.027435,0.122623,-0.032298
0.081311,0.078579,0.023055,0.084876,0.083879,0.020227,0.031908,0.118206,-0.030007,0.027537,0.122483,-0.032199
0.081329,0.078423,0.023019,0.084899,0.083745,0.020214,0.03204,0.118063,-0.02996,0.027608,0.122292,-0.032151
0.081392,0.078273,0.022941,0.084941,0.083551,0.020197,0.032188,0.117943,-0.02986,0.027654,0.122183,-0.032094
0.081406,0.078143,0.022888,0.084968,0.083388,0.020165,0.032315,0.117882,-0.029777,0.027718,0.122135,-0.032077
0.081446,0.077983,0.022896,0.085005,0.083229,0.020155,0.032399,0.117839,-0.029689,0.027816,0.122065,-0.032034
0.0815,0.077847,0.022887,0.085088,0.083118,0.020107,0.032492,0.117691,-0.029636,0.028035,0.121937,-0.031942
0.081582,0.077714,0.022877,0.085123,0.082929,0.020067,0.032607,0.117498,-0.029572,0.02824,0.121807,-0.031875
0.081673,0.077574,0.022852,0.085139,0.082764,0.020038,0.032713,0.117385,-0.029534,0.028396,0.121691,-0.031797
0.08171,0.077497,0.022821,0.085179,0.08258,0.019989,0.032836,0.11729,-0.029461,0.028516,0.121579,-0.031706
0.081734,0.077384,0.022773,0.085198,0.082371,0.019973,0.033043,0.117157,-0.029421,0.028615,0.121444,-0.031632
0.081749,0.077208,0.022714,0.085228,0.082236,0.019948,0.033164,0.117051,-0.029351,0.028696,0.121337,-0.031572
0.081761,0.076982,0.0227,0.085267,0.082124,0.019927,0.033288,0.116955,-0.029266,0.028814,0.121259,-0.031528
0.081771,0.076758,0.022683,0.085298,0.081988,0.019925,0.033427,0.116897,-0.02919,0.028899,0.121178,-0.031506
0.081793,0.076533,0.022679,0.085366,0.081791,0.019905,0.033543,0.116836,-0.029127,0.028977,0.121089,-0.031424
0.081853,0.076323,0.022669,0.085394,0.081535,0.019901,0.033623,0.116779,-0.029072,0.029081,0.121055,-0.031358
0.081894,0.076182,0.022664,0.085414,0.081343,0.019862,0.033723,0.116647,-0.029053,0.029202,0.121007,-0.031252
0.081976,0.076121,0.022636,0.085458,0.081227,0.019779,0.03385,0.116528,-0.028983,0.029337,0.120953,-0.031149
0.082014,0.076057,0.022588,0.085563,0.081103,0.019727,0.034019,0.116387,-0.028847,0.029547,0.120777,-0.031016
0.082063,0.075965,0.022549,0.08559,0.08095,0.01969,0.034116,0.116191,-0.028791,0.029752,0.120615,-0.030937
0.082099,0.07578,0.022543,0.085672,0.080813,0.019647,0.034189,0.116067,-0.028746,0.029851,0.120416,-0.030953
0.082119,0.075555,0.022537,0.085731,0.080659,0.019629,0.034285,0.115952,-0.028695,0.029938,0.12025,-0.030894
