pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
-0.032675,0.108248,-0.046325,-0.034855,0.110607,-0.05051,0.090124,0.076542,-0.034148,0.094842,0.072671,-0.03303
-0.031989,0.108329,-0.045997,-0.034162,0.110716,-0.050147,0.090123,0.076542,-0.034148,0.094855,0.07263,-0.03303
-0.031199,0.108273,-0.045697,-0.033451,0.110738,-0.049732,0.090125,0.076539,-0.034148,0.094852,0.072631,-0.03303
-0.030339,0.108327,-0.045414,-0.032975,0.110697,-0.049456,0.090125,0.076539,-0.034146,0.094858,0.07263,-0.03303
-0.029511,0.108425,-0.045099,-0.032362,0.110714,-0.049111,0.090125,0.076545,-0.034145,0.094855,0.07263,-0.03303
-0.029076,0.10844,-0.044823,-0.031712,0.110724,-0.048737,0.090124,0.076542,-0.034146,0.094855,0.072631,-0.03303
-0.028204,0.108422,-0.044477,-0.031107,0.11065,-0.048274,0.090122,0.076545,-0.034146,0.094852,0.072631,-0.03303
-0.027393,0.108336,-0.044129,-0.030385,0.110581,-0.047854,0.090122,0.076542,-0.034146,0.094852,0.072631,-0.03303
-0.02671,0.108325,-0.043869,-0.029649,0.11049,-0.047427,0.090125,0.076542,-0.034143,0.094852,0.072631,-0.03303
-0.025977,0.10829,-0.043468,-0.028975,0.110306,-0.047111,0.090123,0.076539,-0.034146,0.094855,0.07263,-0.03303
-0.025181,0.108299,-0.043071,-0.028257,0.110152,-0.046693,0.090125,0.076542,-0.034145,0.094851,0.072625,-0.033029
-0.0245,0.108251,-0.042791,-0.027551,0.109905,-0.046346,0.090125,0.076542,-0.034143,0.094857,0.072621,-0.033028
-0.023751,0.107986,-0.042442,-0.026954,0.109768,-0.046003,0.090126,0.076545,-0.034143,0.094854,0.072621,-0.033028
-0.023024,0.107792,-0.041975,-0.026467,0.109625,-0.045708,0.090126,0.076542,-0.034143,0.094857,0.072619,-0.033028
-0.022318,0.10775,-0.041658,-0.025971,0.109397,-0.045181,0.090126,0.076545,-0.034143,0.09486,0.072621,-0.033028
-0.021551,0.10771,-0.041413,-0.025369,0.10915,-0.044689,0.090125,0.076548,-0.034145,0.09486,0.072621,-0.033028
-0.020867,0.107584,-0.040991,-0.024756,0.109014,-0.044297,0.090126,0.076545,-0.034145,0.094863,0.072619,-0.033027
-0.020012,0.107422,-0.040554,-0.023931,0.108832,-0.043888,0.090125,0.076545,-0.034143,0.094854,0.072621,-0.033028
-0.019329,0.107242,-0.040092,-0.023284,0.108524,-0.043504,0.090125,0.07655,-0.034143,0.094859,0.072622,-0.033028
