pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
0.035511,-0.071825,0.081506,0.028428,-0.070889,0.080476,0.091672,0.097788,0.029569,0.092448,0.103915,0.02878
0.036311,-0.07187,0.080527,0.029398,-0.07106,0.079776,0.091672,0.09779,0.029566,0.092448,0.103915,0.02878
0.037274,-0.071869,0.079701,0.030147,-0.071148,0.079146,0.091671,0.097785,0.029571,0.092486,0.103944,0.028806
0.037953,-0.072025,0.078976,0.031062,-0.071209,0.078199,0.091591,0.097687,0.029569,0.092529,0.103979,0.028815
0.038793,-0.072123,0.078144,0.031854,-0.071336,0.07738,0.091609,0.097612,0.0296,0.092548,0.103876,0.028766
0.039712,-0.072144,0.077422,0.032666,-0.071458,0.076619,0.091584,0.097516,0.029672,0.092518,0.103616,0.028731
0.040524,-0.072173,0.076647,0.033664,-0.071403,0.075806,0.091474,0.097312,0.029719,0.092635,0.103553,0.028792
0.041331,-0.072209,0.075895,0.034536,-0.071255,0.075129,0.091492,0.097061,0.029745,0.09267,0.103219,0.02902
0.042197,-0.072196,0.07524,0.035352,-0.071424,0.074312,0.091448,0.096904,0.02979,0.09265,0.103087,0.029134
0.043028,-0.072277,0.074484,0.03618,-0.071371,0.073623,0.09145,0.09654,0.029911,0.09263,0.102871,0.029296
0.04393,-0.072439,0.073671,0.03702,-0.071346,0.073028,0.091478,0.096241,0.029957,0.092672,0.102557,0.029621
0.044843,-0.072426,0.072963,0.037821,-0.071577,0.072128,0.091465,0.096062,0.029934,0.092734,0.10247,0.029806
0.045716,-0.072446,0.072242,0.038819,-0.071613,0.071498,0.091456,0.095823,0.029984,0.092716,0.102115,0.030026
0.046681,-0.072469,0.071513,0.039667,-0.071511,0.070815,0.091495,0.095622,0.030034,0.092689,0.101879,0.030317
0.047637,-0.072501,0.070777,0.040776,-0.071613,0.070011,0.091415,0.095375,0.029996,0.092673,0.101558,0.030408
0.048322,-0.072562,0.070196,0.041544,-0.071825,0.069282,0.09138,0.095049,0.029926,0.092622,0.101325,0.030678
0.049136,-0.072628,0.06953,0.042414,-0.071955,0.068508,0.091386,0.094686,0.029954,0.092621,0.100959,0.030728
0.050095,-0.072614,0.068843,0.043372,-0.071887,0.06787,0.091402,0.094536,0.03015,0.092627,0.100526,0.030884
0.051022,-0.072687,0.06797,0.044218,-0.071949,0.067105,0.091323,0.094072,0.030141,0.09256,0.100105,0.031205
0.051928,-0.072747,0.067241,0.04517,-0.07215,0.066405,0.091448,0.09363,0.030128,0.092557,0.099903,0.031347
0.05279,-0.072765,0.066543,0.045964,-0.07213,0.065785,0.091481,0.093304,0.030091,0.092574,0.099488,0.03134
0.053696,-0.072685,0.065942,0.046864,-0.072222,0.065033,0.091516,0.092883,0.030183,0.09256,0.099152,0.031513
0.05468,-0.072718,0.065265,0.047696,-0.072106,0.064357,0.091554,0.092544,0.030145,0.092501,0.098576,0.03152
0.055496,-0.072678,0.064622,0.048668,-0.072186,0.063697,0.09158,0.0921,0.030177,0.092502,0.098179,0.031619
0.056403,-0.072631,0.063995,0.049681,-0.072472,0.062939,0.091553,0.091662,0.030234,0.092517,0.09787,0.031667
0.057376,-0.072472,0.063299,0.050558,-0.072646,0.06244,0.091517,0.091091,0.030357,0.092247,0.097568,0.031646
0.058244,-0.072388,0.062685,0.051532,-0.072738,0.061694,0.09136,0.090777,0.030361,0.092328,0.097081,0.031637
0.059107,-0.07222,0.061956,0.052289,-0.072877,0.061096,0.09131,0.090305,0.030327,0.092221,0.096682,0.031556
0.06,-0.072051,0.061373,0.053175,-0.07305,0.060549,0.09135,0.089958,0.030373,0.092149,0.096267,0.031415
0.060851,-0.07189,0.06082,0.054159,-0.073118,0.059977,0.09125,0.089551,0.03037,0.092112,0.095821,0.031377
0.061855,-0.071512,0.060128,0.05507,-0.073274,0.059154,0.091361,0.089114,0.030355,0.092033,0.095446,0.031261
0.062694,-0.071338,0.059527,0.056101,-0.073512,0.058357,0.09131,0.088622,0.030318,0.091932,0.094994,0.031175
0.063309,-0.071026,0.058931,0.057025,-0.073598,0.057733,0.091351,0.088126,0.030288,0.091918,0.094634,0.031151
0.064179,-0.07082,0.058289,0.057943,-0.07363,0.057298,0.091368,0.087752,0.030245,0.091975,0.094165,0.031089
0.065038,-0.070643,0.057536,0.058744,-0.073822,0.056327,0.09144,0.08719,0.030295,0.091724,0.093596,0.030937
0.065795,-0.070388,0.056932,0.05998,-0.073819,0.055572,0.091296,0.086763,0.03023,0.09169,0.093062,0.030839
0.066787,-0.070147,0.056484,0.060827,-0.073862,0.055208,0.091344,0.086381,0.029996,0.09167,0.092813,0.030732
0.06751,-0.069871,0.055886,0.061879,-0.073748,0.05451,0.091166,0.085899,0.029867,0.091614,0.092211,0.0306
0.068265,-0.069601,0.05515,0.062861,-0.074131,0.053715,0.09111,0.085424,0.02983,0.091552,0.091761,0.030498
0.069223,-0.069461,0.054695,0.063991,-0.074259,0.053098,0.091228,0.084818,0.029609,0.091511,0.091334,0.030456
0.069979,-0.069204,0.054077,0.064989,-0.074159,0.052329,0.091145,0.084429,0.029449,0.091567,0.090808,0.03019
0.070695,-0.069078,0.053507,0.065859,-0.074038,0.051685,0.091061,0.083962,0.029331,0.091471,0.090198,0.030091
0.071534,-0.068757,0.052747,0.066783,-0.073856,0.051146,0.090975,0.083483,0.029131,0.091434,0.089665,0.029885
0.072443,-0.06846,0.052286,0.067575,-0.073552,0.050541,0.090901,0.082802,0.028936,0.091364,0.089247,0.029758
0.073126,-0.068336,0.051745,0.068537,-0.073344,0.049854,0.090875,0.082244,0.028734,0.091451,0.088515,0.029663
0.073846,-0.068083,0.051186,0.069539,-0.0734,0.049243,0.090978,0.081687,0.028491,0.091322,0.087878,0.029488
0.074738,-0.067819,0.050696,0.070491,-0.073312,0.048644,0.090878,0.081079,0.02838,0.0913,0.087251,0.029355
