pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
0.013197,0.058529,-0.00997,0.007168,0.061928,-0.010014,0.086276,0.067703,-0.027049,0.0927,0.067967,-0.028713
0.013353,0.058455,-0.009877,0.007393,0.061834,-0.00994,0.086184,0.067699,-0.027013,0.09263,0.067963,-0.028523
0.013547,0.058385,-0.00981,0.007525,0.061781,-0.009913,0.086165,0.067699,-0.027015,0.092504,0.067958,-0.028511
0.013753,0.058206,-0.009791,0.007726,0.061667,-0.009848,0.086095,0.067621,-0.026918,0.092504,0.067958,-0.028511
0.013864,0.058075,-0.009736,0.007897,0.06158,-0.009732,0.086068,0.067595,-0.026908,0.092496,0.067958,-0.028512
0.01411,0.057988,-0.009573,0.008042,0.061474,-0.009654,0.085989,0.067644,-0.026883,0.092331,0.067968,-0.028377
0.014314,0.057887,-0.009507,0.008212,0.061352,-0.009689,0.085978,0.067643,-0.026819,0.092299,0.068,-0.028379
0.014499,0.0578,-0.009443,0.008357,0.061218,-0.009634,0.085936,0.067642,-0.026771,0.09228,0.068065,-0.028379
0.014712,0.05761,-0.009419,0.00856,0.061063,-0.009489,0.085933,0.067642,-0.026695,0.092156,0.068044,-0.02831
0.014849,0.057569,-0.009381,0.008752,0.060919,-0.009432,0.085917,0.067628,-0.026632,0.09214,0.068044,-0.028312
0.015083,0.057481,-0.00922,0.008974,0.060746,-0.009329,0.085801,0.067556,-0.026534,0.092082,0.068141,-0.028314
0.015213,0.057288,-0.009155,0.009142,0.060679,-0.009241,0.085739,0.067553,-0.026401,0.092048,0.068044,-0.028323
0.015474,0.057175,-0.009121,0.009347,0.060543,-0.009215,0.085681,0.067551,-0.026381,0.091949,0.068008,-0.028226
0.015508,0.057087,-0.009121,0.009427,0.060518,-0.009127,0.085587,0.067547,-0.026294,0.091924,0.068057,-0.028227
0.015742,0.057032,-0.009036,0.009616,0.060424,-0.009011,0.085503,0.067467,-0.026269,0.091923,0.068056,-0.028196
0.015955,0.056916,-0.008972,0.009824,0.060334,-0.008934,0.085458,0.067464,-0.026162,0.091698,0.068046,-0.028077
0.016223,0.056832,-0.008848,0.010055,0.060197,-0.008839,0.085316,0.067459,-0.026082,0.09163,0.068061,-0.027931
0.016423,0.056729,-0.008715,0.010126,0.060072,-0.008842,0.085238,0.067424,-0.026092,0.091599,0.068061,-0.027934
0.016649,0.056614,-0.008551,0.010336,0.059861,-0.008789,0.085222,0.067423,-0.02598,0.091591,0.068061,-0.027935
0.016813,0.056486,-0.008422,0.010498,0.059824,-0.008732,0.085189,0.067422,-0.025976,0.091492,0.068057,-0.027925
0.017013,0.056352,-0.00836,0.010876,0.059546,-0.00862,0.0851,0.06743,-0.025847,0.091446,0.068041,-0.027931
