pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z
0.075068,0.092468,-0.010745,0.076507,0.096519,-0.015208,0.088109,0.069132,-0.030645,0.094558,0.069798,-0.031555
0.074929,0.092356,-0.010576,0.076438,0.096425,-0.015149,0.088095,0.069202,-0.03076,0.094558,0.069798,-0.031555
0.074908,0.092309,-0.010529,0.076441,0.096307,-0.015112,0.088096,0.069202,-0.030757,0.094558,0.069798,-0.031555
0.074847,0.092136,-0.010309,0.076451,0.096259,-0.015016,0.088032,0.069184,-0.030768,0.094561,0.069796,-0.031528
0.074812,0.092082,-0.010276,0.076462,0.09609,-0.0149,0.08808,0.069185,-0.03075,0.094561,0.069796,-0.031528
0.074741,0.091937,-0.010128,0.07645,0.095956,-0.014805,0.088039,0.069184,-0.030767,0.094561,0.069796,-0.031528
0.07473,0.091869,-0.010022,0.076369,0.095881,-0.014699,0.088056,0.069185,-0.030762,0.094451,0.069804,-0.031523
0.074723,0.091858,-0.00995,0.07633,0.095782,-0.014662,0.088066,0.069149,-0.03076,0.094451,0.069804,-0.031523
0.074627,0.091711,-0.009795,0.076226,0.09573,-0.014566,0.088018,0.069147,-0.030744,0.094445,0.069888,-0.031425
0.0746,0.091688,-0.009798,0.076131,0.095642,-0.014436,0.088003,0.069147,-0.030744,0.094445,0.069888,-0.031425
0.07455,0.091568,-0.009604,0.076105,0.095565,-0.01435,0.087969,0.06906,-0.030751,0.094458,0.069837,-0.031314
0.074514,0.09152,-0.00952,0.076136,0.095433,-0.014283,0.088064,0.06906,-0.030511,0.094465,0.069777,-0.031372
0.074487,0.091496,-0.009406,0.076131,0.09531,-0.014203,0.088018,0.069074,-0.030348,0.094398,0.06971,-0.031364
0.07446,0.091472,-0.009266,0.075998,0.095343,-0.01409,0.087952,0.069073,-0.030382,0.094398,0.06971,-0.031364
0.074428,0.09136,-0.009241,0.076016,0.095264,-0.013984,0.087948,0.069072,-0.030259,0.094391,0.06973,-0.03128
0.074417,0.091371,-0.009118,0.076013,0.095232,-0.013891,0.087948,0.069072,-0.030259,0.094392,0.069784,-0.031341
0.074316,0.091291,-0.009031,0.075873,0.095156,-0.013713,0.087942,0.069071,-0.030135,0.094377,0.069774,-0.031293
0.074229,0.091275,-0.008961,0.075877,0.095009,-0.013646,0.087942,0.069071,-0.030135,0.094377,0.069774,-0.031293
0.074267,0.091176,-0.008787,0.075796,0.095041,-0.013526,0.087937,0.06907,-0.030006,0.094326,0.069632,-0.031137
0.074192,0.091112,-0.008682,0.07578,0.094947,-0.01348,0.087939,0.069052,-0.03,0.094326,0.069632,-0.031137
0.074185,0.091073,-0.008646,0.075696,0.094889,-0.013439,0.087932,0.069034,-0.029887,0.094289,0.069642,-0.031081
0.074038,0.090972,-0.008509,0.075707,0.094777,-0.01331,0.087929,0.069032,-0.029763,0.094289,0.069642,-0.031081
0.074096,0.090879,-0.008415,0.075717,0.094615,-0.01316,0.08793,0.069032,-0.029751,0.09429,0.0695,-0.031028
0.074101,0.09084,-0.008336,0.075696,0.094616,-0.013104,0.087924,0.069031,-0.02964,0.094288,0.069506,-0.031004
0.074026,0.090775,-0.008194,0.075616,0.094496,-0.012966,0.087913,0.069029,-0.029395,0.094193,0.069511,-0.030971
0.073965,0.090654,-0.008108,0.075591,0.094449,-0.012863,0.08791,0.069027,-0.029252,0.094187,0.069531,-0.030888
0.073887,0.090591,-0.007976,0.075511,0.094322,-0.01274,0.087914,0.069028,-0.029375,0.094175,0.069475,-0.030832
0.073925,0.090551,-0.007976,0.075503,0.094358,-0.012711,0.087914,0.068871,-0.029282,0.094175,0.069475,-0.030832
0.073946,0.09049,-0.007882,0.07539,0.094214,-0.012646,0.087906,0.068869,-0.029153,0.094146,0.069473,-0.03075
0.07392,0.090357,-0.007627,0.075383,0.094062,-0.012557,0.087838,0.068867,-0.029133,0.094141,0.06945,-0.030654
0.073848,0.090263,-0.007522,0.075381,0.093985,-0.012462,0.087832,0.068765,-0.029153,0.094146,0.069448,-0.030605
0.073839,0.090152,-0.007387,0.075392,0.093946,-0.0123,0.087819,0.068763,-0.02903,0.094146,0.069448,-0.030605
0.073828,0.090107,-0.007296,0.075396,0.093774,-0.012237,0.08782,0.068763,-0.029001,0.094074,0.069402,-0.030474
0.073774,0.090019,-0.007298,0.075265,0.093736,-0.012195,0.087822,0.068762,-0.028886,0.093984,0.069383,-0.030399
0.073736,0.089958,-0.007092,0.07527,0.093699,-0.012046,0.087817,0.068709,-0.028786,0.093942,0.06921,-0.030365
0.073714,0.089897,-0.007042,0.075253,0.093658,-0.011947,0.087726,0.068636,-0.028756,0.093935,0.069386,-0.030393
0.073671,0.089832,-0.007028,0.075264,0.093574,-0.011911,0.087834,0.068586,-0.028645,0.093942,0.069239,-0.030295
0.073601,0.089722,-0.006806,0.075157,0.093464,-0.011875,0.087765,0.068582,-0.028519,0.093942,0.069239,-0.030295
0.073558,0.08965,-0.006766,0.075181,0.093416,-0.01175,0.087751,0.068754,-0.028477,0.09392,0.069175,-0.030275
0.073535,0.089608,-0.006689,0.075156,0.093374,-0.01158,0.087741,0.068665,-0.028353,0.093916,0.069169,-0.030203
0.073441,0.08945,-0.006532,0.075185,0.093272,-0.011487,0.087705,0.068647,-0.028237,0.093919,0.069167,-0.030169
0.073423,0.08937,-0.006462,0.075088,0.093239,-0.01141,0.087736,0.068595,-0.028227,0.093922,0.069119,-0.03018
0.073361,0.089269,-0.0063,0.074982,0.093093,-0.011313,0.08774,0.068594,-0.028121,0.093855,0.069099,-0.030125
0.073323,0.089202,-0.006228,0.074964,0.092948,-0.011201,0.087747,0.068576,-0.028131,0.093859,0.069031,-0.030124
0.073257,0.089136,-0.006161,0.074865,0.092858,-0.011134,0.087673,0.068503,-0.028013,0.093794,0.068989,-0.030029
0.073179,0.089024,-0.005978,0.074886,0.092825,-0.011046,0.087669,0.068502,-0.027887,0.093794,0.068969,-0.030017
0.073148,0.088956,-0.005953,0.074746,0.092666,-0.01097,0.087665,0.068501,-0.027778,0.093789,0.068991,-0.029901
0.073084,0.088842,-0.005797,0.074753,0.09266,-0.010918,0.087664,0.068501,-0.027768,0.093789,0.068991,-0.029901
0.073033,0.088724,-0.005683,0.074757,0.092509,-0.010814,0.08763,0.068482,-0.027665,0.093759,0.06899,-0.029833
0.073043,0.088678,-0.005633,0.07465,0.092426,-0.010667,0.08762,0.068481,-0.027541,0.093759,0.068893,-0.029758
0.073037,0.088633,-0.005563,0.074642,0.092437,-0.010582,0.087557,0.068479,-0.027533,0.093716,0.068893,-0.029697
0.072997,0.088516,-0.005384,0.074525,0.092341,-0.010546,0.087537,0.068478,-0.027445,0.093677,0.068838,-0.029688
0.072959,0.088454,-0.005313,0.074531,0.092252,-0.010384,0.087541,0.068477,-0.027301,0.093677,0.068837,-0.029681
0.072941,0.088389,-0.00518,0.07452,0.092095,-0.01035,0.087528,0.068476,-0.02727,0.093653,0.068853,-0.029555
0.07291,0.088345,-0.005147,0.074524,0.092052,-0.010301,0.08759,0.068476,-0.027055,0.093687,0.068718,-0.029472
0.072904,0.08833,-0.0051,0.074551,0.091913,-0.010235,0.087604,0.06846,-0.026971,0.09366,0.068735,-0.029374
0.072846,0.088119,-0.0049,0.074556,0.091908,-0.010092,0.08756,0.068405,-0.026841,0.093708,0.068737,-0.029205
0.072823,0.088059,-0.004838,0.074542,0.091863,-0.010008,0.087555,0.068405,-0.026795,0.093634,0.06868,-0.029175
0.072777,0.088062,-0.004811,0.074573,0.091711,-0.009868,0.087559,0.068385,-0.026575,0.09356,0.068662,-0.029176
0.072696,0.08786,-0.004586,0.074444,0.091639,-0.009794,0.087555,0.068385,-0.026584,0.093521,0.068622,-0.029139
0.072648,0.087707,-0.004406,0.074358,0.091549,-0.009598,0.087453,0.068383,-0.02658,0.093387,0.068562,-0.029116
0.072634,0.0877,-0.004407,0.074346,0.091492,-0.00954,0.087448,0.068382,-0.026464,0.093387,0.068562,-0.029116
0.072634,0.0877,-0.004407,0.07434,0.091487,-0.009487,0.08743,0.068415,-0.026341,0.093372,0.068561,-0.029056
0.072594,0.087567,-0.004267,0.074363,0.091319,-0.009445,0.087377,0.0685,-0.026078,0.093368,0.068495,-0.028947
0.072559,0.087475,-0.004175,0.074378,0.09124,-0.009377,0.087312,0.068431,-0.026087,0.093339,0.068496,-0.028911
0.072517,0.087395,-0.004087,0.074379,0.091147,-0.009248,0.087294,0.068485,-0.025973,0.093342,0.068428,-0.028916
0.072479,0.08736,-0.003989,0.074368,0.091074,-0.009227,0.087263,0.068443,-0.025952,0.093338,0.068441,-0.028844
0.072432,0.087196,-0.003779,0.074236,0.091027,-0.009065,0.087272,0.068414,-0.025742,0.093288,0.068372,-0.028729
0.072433,0.087188,-0.003779,0.074151,0.090837,-0.00893,0.087216,0.068412,-0.025747,0.093291,0.068306,-0.028716
0.072333,0.087054,-0.003568,0.074144,0.09075,-0.008719,0.087195,0.068287,-0.025568,0.093232,0.068202,-0.028666
0.073064,0.086943,-0.003429,0.074161,0.090766,-0.008675,0.087206,0.068286,-0.025501,0.093238,0.068051,-0.028627
0.07288,0.086795,-0.003288,0.074154,0.090755,-0.008602,0.087204,0.068285,-0.02538,0.093192,0.068155,-0.028561
0.072961,0.086713,-0.00324,0.074135,0.090639,-0.008504,0.087124,0.068309,-0.025329,0.093081,0.068079,-0.028461
0.072936,0.086705,-0.003155,0.074144,0.090539,-0.008473,0.087128,0.068309,-0.025223,0.092989,0.068084,-0.028415
0.072923,0.086579,-0.003061,0.074162,0.090452,-0.008471,0.087095,0.068335,-0.025091,0.09299,0.068055,-0.028406
0.072948,0.086455,-0.002921,0.074176,0.090284,-0.008319,0.087057,0.068415,-0.024978,0.092929,0.068063,-0.028323
0.072979,0.086452,-0.002921,0.07418,0.090261,-0.008226,0.087051,0.068414,-0.024863,0.092929,0.068063,-0.028323
0.072995,0.086421,-0.002928,0.074171,0.090182,-0.008122,0.086987,0.068329,-0.024837,0.09289,0.067983,-0.028258
0.072941,0.086259,-0.002673,0.074076,0.090137,-0.007967,0.086979,0.068328,-0.024731,0.092753,0.067992,-0.028236
0.072942,0.086191,-0.002641,0.074058,0.08998,-0.007852,0.086937,0.068341,-0.024621,0.092752,0.067904,-0.028154
